"ID","precio","tipo","AREA_CONST","RECAMARAS","BANOS","No_de_piso","Edad_inmue","Jardin","Cisterna","Seguridad","Zona.priva","Alberca","Lavanderí","Terraza","Gimnasio","Cuarto.de","Chimenea","Sótano","Aire.acond","Elevador","Urbanizado","CPV_Prop_e","CPV_Prop_a","CPV_Prop_d","CPV_Prop_s","Distance","I_A","tipo_vivienda"
28772737,9500000,"Casa en condominio",165,3,4,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.868338558,0.868338558,0.868338558,0.868338558,5663.643806,1,3
27804669,7450000,"Casa en condominio",230,3,3,3,13,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.9070480082,0.9060265577,0.9060265577,0.9060265577,11204.00267,0.6,3
28660612,4250000,"Casa en condominio",165,3,3,1,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9695652174,0.9695652174,0.9695652174,0.9695652174,14919.43985,0.5,3
28799275,6500000,"Casa en condominio",170,4,2,3,7,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.9210526316,0.9210526316,0.9210526316,0.9210526316,4967.195905,1,3
28661094,8900000,"Casa en condominio",190,3,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5636363636,0.5636363636,0.5636363636,0.5636363636,9063.685248,0.5,3
28661483,16500000,"Casa en condominio",490,5,4,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9070480082,0.9060265577,0.9060265577,0.9060265577,11204.00267,0.6,3
28251712,5600000,"Casa en condominio",133,2,2,2,10,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.9,0.9,0.9,0.9,17931.11682,1,3
28756873,6490000,"Casa en condominio",142,3,3,3,11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.9736842105,0.9736842105,0.9736842105,0.9736842105,6596.171831,1,3
27285281,5750000,"Casa en condominio",236,3,3,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.9071428571,0.9071428571,0.9071428571,0.9071428571,16624.49463,1,3
26639651,28000000,"Casa en condominio",450,3,3,2,10,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.581120944,0.5781710914,0.581120944,0.581120944,9133.171327,0.5,3
28723724,2870000,"Casa",251,4,3,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9487179487,0.7692307692,0.9487179487,0.9487179487,16413.15733,0.9,2
28660477,5900000,"Casa",215,3,2,1,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,12834.22193,0.6,2
28625397,11200000,"Casa",350,4,3,2,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.8510638298,0.8510638298,0.8510638298,0.8510638298,9384.862692,1,2
28712309,6000000,"Casa",237,3,2,1,30,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.9290322581,0.9290322581,0.9290322581,0.9290322581,14639.35425,0.6,2
28666085,8200000,"Casa",297,3,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,7945.936468,0.5,2
28101857,7180000,"Casa",300,4,4,2,25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8858695652,0.8858695652,0.8858695652,0.8858695652,16039.84805,0.5,2
28662419,18500000,"Casa",618,3,3,1,34,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.9068965517,0.9051724138,0.9051724138,0.9051724138,11251.54312,0.6,2
28660275,22890000,"Casa",513,4,4,1,26,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.8787878788,0.8333333333,0.8787878788,0.8787878788,12647.0057,0.6,2
28715860,9850000,"Casa",240,3,2,2,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7252747253,0.7252747253,0.7252747253,0.7252747253,7190.91401,1,2
28662761,15500000,"Casa",500,4,5,1,40,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.9068965517,0.9051724138,0.9051724138,0.9051724138,11251.54312,0.6,2
28846897,9000000,"Casa",270,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8095238095,0.8095238095,0.8095238095,0.8095238095,3063.103454,1,2
28546746,4690000,"Casa",280,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9302325581,0.9302325581,0.9302325581,0.9302325581,13846.99511,0.9,2
28831015,9600000,"Casa",301,3,5,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.954593453,0.949313622,0.954593453,0.954593453,11609.62154,0.6,2
28661936,24900000,"Casa",1150,5,4,1,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9130434783,0.9130434783,0.9130434783,0.9130434783,14872.51312,0.5,2
28659940,4300000,"Casa",291,4,2,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9067524116,0.8874598071,0.9099678457,0.9067524116,19425.91885,0.6,2
28778690,5950000,"Casa",246,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8837209302,0.8837209302,0.8837209302,0.8837209302,6107.844876,1,2
28625645,15789000,"Casa",519,12,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8139534884,0.8139534884,0.8139534884,0.8139534884,8254.727299,0.9,2
28631858,53000000,"Casa",448,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3615221987,0.3615221987,0.3615221987,0.3615221987,7094.748769,0.9,2
28722938,22500000,"Casa",750,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8048780488,0.8048780488,0.8048780488,0.8048780488,8428.754588,1,2
28662554,20500000,"Casa",955,3,5,1,41,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,13599.05759,1,2
27427313,8250000,"Casa",400,4,3,2,45,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.9473684211,0.9473684211,0.9473684211,0.9473684211,13656.76201,0.6,2
28762827,6600000,"Casa",203,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9655172414,0.9655172414,0.9655172414,0.9655172414,10417.92031,0.6,2
27586526,10500000,"Casa",319,4,4,3,50,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.9337349398,0.9307228916,0.9337349398,0.9337349398,12095.32881,0.5,2
23701112,12850000,"Casa",306,1,3,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8823529412,0.8823529412,0.8823529412,0.8823529412,9812.124085,0.9,2
23965760,29900000,"Casa",564,4,3,2,40,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.8823529412,0.8823529412,0.8823529412,0.8823529412,9812.124085,0.9,2
27926439,24900000,"Casa",326,3,3,2,13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.8636363636,0.8636363636,0.8636363636,0.8636363636,7206.230795,1,2
28567032,11000000,"Casa",300,6,4,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.9224137931,0.9224137931,0.9224137931,0.9224137931,9287.868495,1,2
28651106,52000000,"Casa",1200,3,4,1,20,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.9712525667,0.9527720739,0.9589322382,0.9568788501,11124.71562,0.5,2
28651107,52000000,"Casa",1200,3,4,1,20,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.7555555556,0.7555555556,0.7555555556,0.7555555556,8410.923839,0.5,2
21872833,2100000,"Casa",250,6,3,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,13856.869,0.6,2
28545932,18000000,"Casa",530,10,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8484848485,0.8484848485,0.8484848485,0.8484848485,6436.687947,1,2
28662434,19900000,"Casa",480,4,4,1,5,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0.92,0.6936170213,0.92,0.9182978723,16660.97545,1,2
28566972,49000000,"Casa",750,4,4,1,9,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0.7878787879,0.7878787879,0.7878787879,0.7878787879,9510.388218,1,2
27905272,7999980,"Casa",224,3,3,2,9,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,12834.22193,0.6,2
25032574,6950000,"Casa",146,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9189189189,0.9189189189,0.9189189189,0.9189189189,6638.793199,1,2
26093789,33000000,"Casa",509,7,4,3,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8888888889,0.8888888889,0.8888888889,0.8888888889,6533.775375,0.5,2
28062807,60000000,"Casa",1052,3,3,1,35,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.875,0.875,0.875,0.875,5729.691169,0.6,2
28232776,11305350,"Casa",143,3,2,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.9090909091,0.9090909091,0.9090909091,0.9090909091,2453.982202,0.7,2
28610397,7000000,"Departamento",103,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.9385113269,0.9385113269,0.9385113269,0.9385113269,6590.184597,1,1
28684820,4750000,"Departamento",71,2,2,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0.8333333333,0.8333333333,0.8333333333,0.8333333333,7270.380615,1,1
16052498,4950000,"Departamento",97,2,2,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8533834586,0.8533834586,0.8533834586,0.8533834586,3462.166539,0.7,1
27923503,6725000,"Departamento",109,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.8088235294,0.8088235294,0.8088235294,0.8088235294,4442.712411,0.7,1
28830906,3600000,"Departamento",108,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8095238095,0.7857142857,0.8095238095,0.8095238095,14278.30875,0.5,1
28720572,4664847,"Departamento",96,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3181818182,0.3131313131,0.3181818182,0.3181818182,9497.743536,0.9,1
28667132,2240000,"Departamento",74,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9523809524,0.9523809524,0.9523809524,0.9523809524,9561.204815,0.9,1
28662125,9300000,"Departamento",140,2,2,1,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7345132743,0.7345132743,0.7345132743,0.7345132743,2072.84549,1,1
28723693,2325300,"Departamento",31,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7619047619,0.7523809524,0.7619047619,0.7619047619,1585.693532,1,1
28661744,3179410,"Departamento",44,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.9322709163,0.9322709163,0.9322709163,0.9322709163,2185.819655,1,1
28661744,3179410,"Departamento",44,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.9,0.9,0.9,0.9,2185.819655,1,1
28661763,4340000,"Departamento",46,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.9322709163,0.9322709163,0.9322709163,0.9322709163,2185.819655,1,1
28661763,4340000,"Departamento",46,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.9,0.9,0.9,0.9,2185.819655,1,1
28534758,2409000,"Departamento",48,2,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.8516129032,0.8516129032,0.8516129032,0.8516129032,7606.165108,1,1
26974570,5365000,"Departamento",83,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8888888889,0.8888888889,0.8888888889,0.8888888889,6747.12226,1,1
27970188,5260000,"Departamento",112,3,2,1,17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.8928571429,0.8928571429,0.8928571429,0.8928571429,7277.482941,1,1
28660389,4500000,"Departamento",96,2,2,1,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.9069767442,0.9069767442,0.9069767442,0.9069767442,6007.427758,0.5,1
27780598,4650000,"Departamento",150,3,2,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9166666667,0.9166666667,0.9166666667,0.9166666667,8094.380646,1,1
28215693,4491290,"Departamento",71,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.9090909091,0.9090909091,0.9090909091,0.9090909091,5563.029242,1,1
28587402,2020000,"Departamento",56,2,1,1,9,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.8484848485,0.8468899522,0.8484848485,0.8484848485,6713.972112,1,1
28661559,5200000,"Departamento",74,2,2,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9145299145,0.9145299145,0.9145299145,0.9145299145,10373.64258,1,1
28072809,4100000,"Departamento",123,3,2,1,7,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0.6436363636,0.6436363636,0.6436363636,0.6436363636,15429.38984,0.5,1
28662029,6811411,"Departamento",91,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7345132743,0.7345132743,0.7345132743,0.7345132743,2072.84549,1,1
28753331,4900000,"Departamento",147,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8684210526,0.8684210526,0.8684210526,0.8684210526,973.8776303,0.6,1
28426198,5400000,"Departamento",125,4,2,1,64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.896,0.88,0.888,0.888,2446.894058,0.7,1
28646180,5090000,"Departamento",76,2,2,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.1346153846,0.1346153846,0.1346153846,0.1346153846,7949.643079,1,1
28243385,4520000,"Departamento",88,2,2,5,6,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0.9174311927,0.9174311927,0.9174311927,0.9174311927,13649.54464,1,1
28662122,10500000,"Departamento",286,3,3,1,38,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0.9195205479,0.9118150685,0.9178082192,0.9169520548,10144.62561,0.5,1
28603430,4950000,"Departamento",71,2,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0.9189189189,0.9189189189,0.9189189189,0.9189189189,7110.948295,1,1
28662411,5450000,"Departamento",80,2,2,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.9523809524,0.9523809524,0.9523809524,0.9523809524,9063.052533,0.5,1
25811264,4605553,"Departamento",33,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1418.325259,1,1
28839172,4000000,"Departamento",66,1,2,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9183673469,0.9047619048,0.9183673469,0.9183673469,2585.755273,0.6,1
28661993,4950000,"Departamento",114,3,2,1,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.850678733,0.850678733,0.850678733,0.850678733,4515.846192,1,1
28794375,3300000,"Departamento",120,2,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8703703704,0.8518518519,0.8703703704,0.8703703704,5150.08006,1,1
28769251,1795000,"Departamento",75,3,1,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.95,0.95,0.95,15619.17099,0.9,1
28769251,1795000,"Departamento",75,3,1,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9183673469,0.8979591837,0.8979591837,0.8979591837,15619.17099,0.9,1
28725226,3256000,"Departamento",67,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,5410.968524,1,1
28720529,16500000,"Departamento",215,3,2,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8448275862,0.8275862069,0.8448275862,0.8448275862,2502.959855,1,1
25285547,4389000,"Departamento",90,2,2,5,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0.9680933852,0.9548638132,0.9618677043,0.9595330739,16284.16139,0.5,1
28289381,1472310,"Departamento",55,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.7,0.7,6350.487721,0.9,1
26608630,1690000,"Departamento",65,2,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.8431372549,0.8431372549,0.8431372549,0.8431372549,7650.849947,1,1
28797116,7500000,"Departamento",106,2,2,1,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,5862.776236,1,1
28567859,65000000,"Departamento",600,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9661016949,0.9661016949,0.9661016949,0.9661016949,4337.526647,0.6,1
28263787,3990000,"Departamento",80,2,2,1,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.3181818182,0.3131313131,0.3181818182,0.3181818182,9387.566885,0.9,1
28659890,6480000,"Departamento",90,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7345132743,0.7345132743,0.7345132743,0.7345132743,2072.84549,1,1
28759411,7095000,"Departamento",160,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7731092437,0.7731092437,0.7731092437,0.7731092437,5281.160329,0.3,1
28340757,8000000,"Departamento",104,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,11990.76333,0.6,1
