"Modelo","term","estimate","std.error","statistic","p.value"
"Modelo lineal Log","(Intercept)",15.5443114825756,0.349142652537197,44.5213764907155,1.44315908031917e-82
"Modelo lineal Log","AREA_CONST",0.00226375971137613,0.000270569811640987,8.36663816131807,6.56800509083499e-14
"Modelo lineal Log","RECAMARAS",-0.0794014867717829,0.0426164322208842,-1.86316598161571,0.0646117957173095
"Modelo lineal Log","BANOS",0.296060668412022,0.064703779181127,4.57563178161899,1.06433402672773e-05
"Modelo lineal Log","Edad_inmue",0.00155370730073732,0.00239473673947083,0.64880087866387,0.517569256420847
"Modelo lineal Log","Jardin1",0.0476349120994061,0.131078799041232,0.363406687029701,0.716869544203325
"Modelo lineal Log","Cisterna1",0.0312437960304836,0.093686962689606,0.33349139659909,0.739280794944109
"Modelo lineal Log","Seguridad1",-0.050699945094323,0.0888899798063742,-0.570367382293942,0.569376624933068
"Modelo lineal Log","Alberca1",-0.027233567004702,0.16176138995568,-0.168356410711874,0.866554865829667
"Modelo lineal Log","Lavanderí1",-0.000335921453325334,0.129325393738731,-0.0025974902810192,0.997931339322995
"Modelo lineal Log","Terraza1",0.20905179168392,0.100141662376104,2.08756062884976,0.0387171501721364
"Modelo lineal Log","Gimnasio1",0.12661654075209,0.133995077916539,0.944934267144905,0.346380583059744
"Modelo lineal Log","Cuarto.de1",-0.0253813684067082,0.147496838454919,-0.172080762357939,0.863631732499097
"Modelo lineal Log","Chimenea1",0.383635832551813,0.190188518548367,2.01713455407273,0.0456642318970423
"Modelo lineal Log","Aire.acond1",0.459525509570257,0.279564419889324,1.64371957544589,0.10256106252662
"Modelo lineal Log","Elevador1",0.102525806257477,0.0998807849083094,1.02648178377449,0.306500268886765
"Modelo lineal Log","CPV_Prop_s",-0.564871010528826,0.256103156377333,-2.20563861265562,0.0291011115742678
"Modelo lineal Log","Distance",-4.34195711472531e-05,1.14236161490668e-05,-3.80086047891237,0.000217406305218207
"Modelo lineal Log","I_A0.5",-0.00677001391742892,0.283091495792558,-0.0239145789190001,0.980956057692078
"Modelo lineal Log","I_A0.6",-0.03574750826839,0.281595276616676,-0.126946405841358,0.899171703214281
"Modelo lineal Log","I_A0.7",-0.0167894839045099,0.320296875751175,-0.0524185066280602,0.958272713510177
"Modelo lineal Log","I_A0.9",-0.245178258138015,0.29807900981232,-0.822527752934992,0.412227065424697
"Modelo lineal Log","I_A1",-0.180817007329026,0.267989921907153,-0.6747156984197,0.501010264159696
"Modelo lineal Log","tipo_vivienda2",0.0110076769505855,0.147846777885223,0.0744532759390331,0.940759927983449
"Modelo lineal Log","tipo_vivienda3",0.228526283710588,0.181330658534129,1.26027383101118,0.209744654540298
"Modelo lineal $","(Intercept)",9818882.31518647,4745267.09920236,2.06919486509768,0.0404351308005293
"Modelo lineal $","AREA_CONST",48030.3941053587,3677.36802102851,13.0610789648204,1.02459715078916e-25
"Modelo lineal $","RECAMARAS",-505443.321609297,579208.390133898,-0.872645027625465,0.384406051716027
"Modelo lineal $","BANOS",-454492.705649824,879401.907246338,-0.516820241012409,0.60612729462182
"Modelo lineal $","Edad_inmue",-57994.1267522843,32547.3424071307,-1.78183908310678,0.0770236368420921
"Modelo lineal $","Jardin1",1670829.69401075,1781517.97831991,0.937868556109919,0.349986833076877
"Modelo lineal $","Cisterna1",525283.3763693,1273318.10778353,0.412531144541456,0.680604546499445
"Modelo lineal $","Seguridad1",-104249.370132647,1208121.36116486,-0.0862904783275503,0.931363359001438
"Modelo lineal $","Alberca1",585729.251603984,2198531.16226225,0.266418444122156,0.790323452821777
"Modelo lineal $","Lavanderí1",786276.44068148,1757687.09878381,0.447335843350916,0.655349507697077
"Modelo lineal $","Terraza1",753240.294819104,1361045.21254999,0.553427827285669,0.580885885052392
"Modelo lineal $","Gimnasio1",1092866.32122721,1821153.70342691,0.600095598285161,0.549448513362575
"Modelo lineal $","Cuarto.de1",2913139.21094102,2004658.81114861,1.45318454928092,0.148493097881591
"Modelo lineal $","Chimenea1",1275934.37069897,2584889.91005604,0.493612654734416,0.62238185576503
"Modelo lineal $","Aire.acond1",7684748.44722896,3799615.52725807,2.02250685420652,0.0450992111551889
"Modelo lineal $","Elevador1",-525496.418701532,1357499.57509821,-0.387106138625136,0.699287198908467
"Modelo lineal $","CPV_Prop_s",-4938067.10262088,3480748.83755361,-1.41867952359686,0.158296987271659
"Modelo lineal $","Distance",-558.795899678679,155.26063479256,-3.59908292546448,0.00044725046667825
"Modelo lineal $","I_A0.5",927227.749934357,3847552.7160214,0.240991564864942,0.809927274736453
"Modelo lineal $","I_A0.6",2007002.66615027,3827217.30418639,0.524402589828101,0.600858545407467
"Modelo lineal $","I_A0.7",-421041.023807294,4353218.42070679,-0.0967194804204045,0.923092607194245
"Modelo lineal $","I_A0.9",4375442.72723247,4051250.99424661,1.08002262349241,0.282057828582015
"Modelo lineal $","I_A1",11195.1761539801,3642304.22752012,0.00307365213190947,0.99755212157532
"Modelo lineal $","tipo_vivienda2",-1817429.67073593,2009414.90741262,-0.904457145227461,0.367364263714478
"Modelo lineal $","tipo_vivienda3",770818.395577764,2464500.97622212,0.312768549501395,0.754939150274832
