LOC,NOM_LOC,AGEB,MZA,CVE_MZA1,VPH_C_ELEC,VPH_AEASP,VPH_DRENAJ,VPH_C_SERV
0001,Azcapotzalco,0010,001,00010010001,48,48,48,48
0001,Azcapotzalco,0010,002,00010010002,42,42,42,42
0001,Azcapotzalco,0010,003,00010010003,32,32,32,32
0001,Azcapotzalco,0010,004,00010010004,42,42,42,42
0001,Azcapotzalco,0010,005,00010010005,45,45,45,45
0001,Azcapotzalco,0010,006,00010010006,38,38,38,38
0001,Azcapotzalco,0010,007,00010010007,50,50,50,50
0001,Azcapotzalco,0010,008,00010010008,31,31,31,31
0001,Azcapotzalco,0010,009,00010010009,33,33,33,33
0001,Azcapotzalco,0010,011,00010010011,0,0,0,0
0001,Azcapotzalco,0010,012,00010010012,53,53,53,53
0001,Azcapotzalco,0010,013,00010010013,54,54,54,54
0001,Azcapotzalco,0010,014,00010010014,62,62,62,62
0001,Azcapotzalco,0010,015,00010010015,44,44,44,44
0001,Azcapotzalco,0010,019,00010010019,0,0,0,0
0001,Azcapotzalco,0010,020,00010010020,*,*,*,*
0001,Azcapotzalco,0010,021,00010010021,47,47,47,47
0001,Azcapotzalco,0010,022,00010010022,34,34,34,34
0001,Azcapotzalco,0010,023,00010010023,21,21,21,21
0001,Azcapotzalco,0010,024,00010010024,20,20,20,20
0001,Azcapotzalco,0010,025,00010010025,40,40,40,40
0001,Azcapotzalco,0010,026,00010010026,*,*,*,*
0001,Azcapotzalco,0010,027,00010010027,63,63,63,63
0001,Azcapotzalco,0010,028,00010010028,28,28,28,28
0001,Azcapotzalco,0010,029,00010010029,35,35,35,35
0001,Azcapotzalco,0010,030,00010010030,*,*,*,*
0001,Azcapotzalco,0025,001,00010025001,*,*,*,*
0001,Azcapotzalco,0025,002,00010025002,0,0,0,0
0001,Azcapotzalco,0025,003,00010025003,*,*,*,*
0001,Azcapotzalco,0025,005,00010025005,*,*,*,*
0001,Azcapotzalco,0025,006,00010025006,35,35,35,35
0001,Azcapotzalco,0025,007,00010025007,37,37,37,37
0001,Azcapotzalco,0025,008,00010025008,27,27,27,27
0001,Azcapotzalco,0025,009,00010025009,28,28,28,28
0001,Azcapotzalco,0025,010,00010025010,18,18,18,18
0001,Azcapotzalco,0025,011,00010025011,30,21,30,30
0001,Azcapotzalco,0025,012,00010025012,56,56,56,56
0001,Azcapotzalco,0025,013,00010025013,47,47,47,47
0001,Azcapotzalco,0025,014,00010025014,34,34,34,34
0001,Azcapotzalco,0025,015,00010025015,37,37,37,37
0001,Azcapotzalco,0025,016,00010025016,18,18,18,18
0001,Azcapotzalco,0025,017,00010025017,73,73,73,73
0001,Azcapotzalco,0025,018,00010025018,48,48,48,48
0001,Azcapotzalco,0025,019,00010025019,64,64,64,64
0001,Azcapotzalco,0025,021,00010025021,36,36,36,36
0001,Azcapotzalco,0025,022,00010025022,68,68,68,68
0001,Azcapotzalco,0025,023,00010025023,29,29,29,29
0001,Azcapotzalco,0025,024,00010025024,9,9,9,9
0001,Azcapotzalco,0025,025,00010025025,28,28,28,28
0001,Azcapotzalco,0025,026,00010025026,48,48,48,48
0001,Azcapotzalco,0025,027,00010025027,35,35,35,35
